"item","Jan/jan","Feb/fev","Mar/mar","Apr/avr","May/mai","Jun/jui","Jul/jui","Aug/aou","Sep/sep","Oct/oct","Nov/nov","Dec/dec","...14","...15","...16","...17","...18","...19","...20","...21","...22","...23","...24"
"(Ontario Weighted Average)   Crude Costs / Cout de brut","66.400000000000006",61.8,61,57.3,55.3,60.4,58.8,56.2,55.7,52.7,52.4,50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Refiner Operating Margin / Marge du raffinage","25",29.3,28.2,30.5,35,29.1,30.3,33.2,36.2,34,38,29.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Marketing Operating Margin / Marge beneficiare du distributeur","10.199999999999999",10.2,10.1,11.3,11.7,12.4,11.9,12.2,12.5,12.1,12.1,12.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Taxes","54.6",54.5,54.3,34.3,34.7,34.7,34.6,34.7,35,34.3,34.8,33.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Tax Components:           Federal Excise Tax","10",10,10,10,10,10,10,10,10,10,10,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"GST/HST","18",17.9,17.7,15.3,15.7,15.7,15.6,15.7,16,15.3,15.8,14.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Provincial","26.6",26.6,26.6,9,9,9,9,9,9,9,9,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MONTRÉAL* Pump Price / Prix au detail","163.30000000000001",162.4,158.5,158.6,160.7,159,156.7,158.7,162.3,153.5,155.8,146.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"(Atlantic Weighted Average)   Crude Costs / Cout de brut","74.3",70.9,68.1,61.9,59.2,63.4,63.2,61.7,62.2,59.7,59.7,56.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Refiner Operating Margin / Marge du raffinage","27",29.3,28.9,34.7,39.6,34,32.9,35.9,37.9,34.1,36.9,30.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Marketing Operating Margin / Marge beneficiare du distributeur","8.5",8.8,8.7,9.1,8.8,8.7,8,8.3,8.9,7.6,6.7,7.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Taxes","53.5",53.4,52.9,52.9,53.1,52.9,52.6,52.9,53.4,52.2,52.5,51.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Tax Components:           Federal Excise Tax","10",10,10,10,10,10,10,10,10,10,10,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"GST/HST","7.1",7.1,6.9,13.8,7,6.9,13.6,6.9,7.1,13.3,13.5,12.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"QST(9.975)","14.2",14.1,13.8,6.9,13.9,13.8,6.8,13.8,14.1,6.7,6.8,6.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Provincial","19.2",19.2,19.2,19.2,19.2,19.2,19.2,19.2,19.2,19.2,19.2,19.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Urban Tax","3",3,3,3,3,3,3,3,3,3,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SAINT JOHN* Pump Price / Prix au detail","160.69999999999999",163.5,157.1,138,140.3,140.2,140.4,142.9,145.8,145.3,148.7,135.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
